,Song 1970,Artist 1970,Song 1971,Artist 1971,Song 1972,Artist 1972,Song 1973,Artist 1973,Song 1974,Artist 1974,Song 1975,Artist 1975,Song 1976,Artist 1976,Song 1977,Artist 1977,Song 1978,Artist 1978,Song 1979,Artist 1979,Song 1980,Artist 1980,Song 1981,Artist 1981,Song 1982,Artist 1982,Song 1983,Artist 1983,Song 1984,Artist 1984,Song 1985,Artist 1985,Song 1986,Artist 1986,Song 1987,Artist 1987,Song 1988,Artist 1988,Song 1989,Artist 1989,Song 1990,Artist 1990,Song 1991,Artist 1991,Song 1992,Artist 1992,Song 1993,Artist 1993,Song 1994,Artist 1994,Song 1995,Artist 1995,Song 1996,Artist 1996,Song 1997,Artist 1997,Song 1998,Artist 1998,Song 1999,Artist 1999,Song 2000,Artist 2000,Song 2001,Artist 2001,Song 2002,Artist 2002,Song 2003,Artist 2003,Song 2004,Artist 2004,Song 2005,Artist 2005,Song 2006,Artist 2006,Song 2007,Artist 2007,Song 2008,Artist 2008,Song 2009,Artist 2009,Song 2010,Artist 2010,Song 2011,Artist 2011,Song 2012,Artist 2012,Song 2013,Artist 2013,Song 2014,Artist 2014,Song 2015,Artist 2015,Song 2016,Artist 2016,Song 2017,Artist 2017,Song 2018,Artist 2018,Song 2019,Artist 2019
24,Green-Eyed Lady,Sugarloaf,Help Me Make It Through The Night,Sammi Smith,Go All The Way,Raspberries,Keep On Truckin',Eddie Kendricks,Boogie Down,Eddie Kendricks,Angie Baby,Helen Reddy,You'll Never Find Another Love Like Mine,Lou Rawls,On And On,Stephen Bishop,TWO OUT OF THREE AIN't BAD,Meat Loaf,My Life,Billy Joel,Coward Of The County,Kenny Rogers,Guilty,Barbra Streisand & Barry Gibb,Hold Me,Fleetwood Mac,(Keep Feeling) Fascination,The Human League,99 Luftballons,Nena,Miami Vice Theme,Jan Hammer,Rock Me Amadeus,Falco,Open Your Heart,Madonna,Father Figure,George Michael,Toy Soldiers,Martika,Two To Make It Right,Seduction,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,Home,Daughtry,Paralyzer,Finger Eleven,Hot N Cold,Katy Perry,Replay,Iyaz,The Lazy Song,Bruno Mars,I Won't Give Up,Jason Mraz,Sail,AWOLNATION,Chandelier,Sia,"Honey, I'm Good.",Andy Grammer,Cold Water,Major Lazer Featuring Justin Bieber & MO,Redbone,Childish Gambino,Yes Indeed,Lil Baby & Drake,Middle Child,J. Cole
25,Ride Captain Ride,Blues Image,Never Can Say Goodbye,Jackson 5,Too Late To Turn Back Now,Cornelius Brothers & Sister Rose,Danny's Song,Anne Murray,You're Sixteen,Ringo Starr,Jackie Blue,Ozark Mountain Daredevils,Golden Years,David Bowie,Feels Like The First Time,Foreigner,Take A Chance On Me,ABBA,Just When I Needed You Most,Randy VanWarmer,Ladies Night,Kool & The Gang,The Best Of Times,Styx,Eye In The Sky,The Alan Parsons Project,The Safety Dance,Men Without Hats,I Can Dream About You,Dan Hartman,Loverboy,Billy Ocean,Papa Don't Preach,Madonna,(I Just) Died In Your Arms,Cutting Crew,Naughty Girls (Need Love Too),Samantha Fox,Forever Your Girl,Paula Abdul,Sending All My Love,Linear,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,What Hurts The Most,Rascal Flatts,My Love,Justin Timberlake Featuring T.I.,Clumsy,Fergie,Second Chance,Shinedown,Sexy Chick,David Guetta Featuring Akon,Till The World Ends,Britney Spears,It Will Rain,Bruno Mars,Don't You Worry Child,Swedish House Mafia Featuring John Martin,Black Widow,Iggy Azalea Featuring Rita Ora,I'm Not The Only One,Sam Smith,Send My Love (To Your New Lover),Adele,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,Friends,Marshmello & Anne-Marie,Drip Too Hard,Lil Baby & Gunna
26,Instant Karma (We All Shine On),John Ono Lennon,Rose Garden,Lynn Anderson,Back Stabbers,The O'Jays,Dancing In The Moonlight,King Harvest,If You Love Me (let Me Know),Olivia Newton-John,Fire,Ohio Players,Moonlight Feels Right,Starbuck,Couldn't Get It Right,Climax Blues Band,Sometimes When We Touch,Dan Hill,You Can't Change That,Raydio,TOO HOT,Kool & The Gang,Elvira,The Oak Ridge Boys,Let's Groove,"Earth, Wind & Fire",Mickey,Toni Basil,The Glamorous Life,Sheila E.,Lover Girl,Teena Marie,You Give Love A Bad Name,Bon Jovi,Heart And Soul,T'Pau,Groovy Kind Of Love,Phil Collins,The Living Years,Mike + The Mechanics,Unskinny Bop,Poison,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,How To Save A Life,The Fray,Stronger,Kanye West,I'm Yours,Jason Mraz,Circus,Britney Spears,Breakeven,The Script,The Show Goes On,Lupe Fiasco,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",Diamonds,Rihanna,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",Good For You,Selena Gomez Featuring A$AP Rocky,Roses,The Chainsmokers Featuring Rozes,It Ain't Me,Kygo x Selena Gomez,Bad At Love,Halsey,Someone You Loved,Lewis Capaldi
27,Patches,Clarence Carter,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds",Sunshine,Jonathan Edwards,Natural High,Bloodstone,Dark Lady,Cher,Magic,Pilot,Only Sixteen,Dr. Hook,Easy,Commodores,Last Dance,Donna Summer,Shake Your Groove Thing,Peaches & Herb,More Love,Kim Carnes,Take It On The Run,REO Speedwagon,Open Arms,Journey,You Can't Hurry Love,Phil Collins,Oh Sherrie,Steve Perry,You Belong To The City,Glenn Frey,When I Think Of You,Janet Jackson,You Keep Me Hangin' On,Kim Wilde,Love Bites,Def Leppard,Wild Thing,Tone-Loc,Step By Step,New Kids On The Block,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,Unfaithful,Rihanna,We Fly High,Jim Jones,Leavin',Jesse McCartney,Day 'N' Nite,Kid Cudi,Your Love Is My Drug,Ke$ha,The Edge Of Glory,Lady Gaga,Boyfriend,Justin Bieber,I Love It,Icona Pop Featuring Charli XCX,Latch,Disclosure Featuring Sam Smith,All About That Bass,Meghan Trainor,Treat You Better,Shawn Mendes,iSpy,KYLE Featuring Lil Yachty,Taste,Tyga Featuring Offset,Ran$om,Lil Tecca
28,Lookin' Out My Back Door/Long As I Can See The Light,Creedence Clearwater Revival,It Don't Come Easy,Ringo Starr,Day After Day,Badfinger,Diamond Girl,Seals & Crofts,Feel Like Makin' Love,Roberta Flack,Please Mr. Postman,Carpenters,Let Your Love Flow,Bellamy Brothers,Right Time Of The Night,Jennifer Warnes,Hopelessly Devoted To You,Olivia Newton-John,I'll Never Love This Way Again,Dionne Warwick,Pop Muzik,M,Woman In Love,Barbra Streisand,Leader Of The Band,Dan Fogelberg,Separate Ways,Journey,Stuck On You,Lionel Richie,Oh Sheila,Ready For The World,These Dreams,Heart,Keep Your Hands To Yourself,The Georgia Satellites,Endless Summer Nights,Richard Marx,When I See You Smile,Bad English,Dangerous,Roxette,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,Chasing Cars,Snow Patrol,U + Ur Hand,P!nk,Dangerous,Kardinal Offishall Featuring Akon,Party In The U.S.A.,Miley Cyrus,I Gotta Feeling,The Black Eyed Peas,We R Who We R,Ke$ha,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,Safe And Sound,Capital Cities,Maps,Maroon 5,Style,Taylor Swift,Too Good,Drake Featuring Rihanna,Issues,Julia Michaels,Let You Down,NF,If I Can't Have You,Shawn Mendes
29,Rainy Night In Georgia,Brook Benton,Mr. Bojangles,Nitty Gritty Dirt Band,Rocket Man,Elton John,Long Train Running,The Doobie Brothers,Just Don't Want To Be Lonely,The Main Ingredient,Sister Golden Hair,America,Turn The Beat Around,Vicki Sue Robinson,I've Got Love On My Mind,Natalie Cole,Hot Blooded,Foreigner,Love You Inside Out,Bee Gees,Brass In Pocket,Pretenders,URGENT,Foreigner,Leather And Lace,Stevie Nicks With Don Henley,1999,Prince,I Guess That's Why They Call It The Blues,Elton John,Rhythm Of The Night,Debarge,Live To Tell,Madonna,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,Foolish Beat,Debbie Gibson,If I Could Turn Back Time,Cher,We Didn't Start The Fire,Billy Joel,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Lips Of An Angel,Hinder,Walk It Out,Unk,Tattoo,Jordin Sparks,Don't Trust Me,3OH!3,Fireflies,Owl City,Black And Yellow,Wiz Khalifa,Too Close,Alex Clare,Treasure,Bruno Mars,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,Hotline Bling,Drake,Low Life,Future Featuring The Weeknd,Scars To Your Beautiful,Alessia Cara,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,Goodbyes,Post Malone Featuring Young Thug
30,Give Me Just A Little More Time,Chairmen Of The Board,Whatcha See Is Whatcha Get,The Dramatics,Rockin' Robin,Michael Jackson,Give Me Love (Give Me Peace On Earth),George Harrison,Nothing From Nothing,Billy Preston,Lucy In The Sky With Diamonds,Elton John,Lonely Night (angel Face),Captain & Tennille,BLINDED BY THE LIGHT,Manfred Mann's Earth Band,The Closer I Get To You,Roberta Flack With Donny Hathaway,I Want You To Want Me,Cheap Trick,Special Lady,"Ray, Goodman & Brown",Passion,Rod Stewart,Even The Nights Are Better,Air Supply,Stray Cat Strut,Stray Cats,She Bop,Cyndi Lauper,One More Night,Phil Collins,Mad About You,Belinda Carlisle,Control,Janet Jackson,Where Do Broken Hearts Go,Whitney Houston,Buffalo Stance,Neneh Cherry,I Don't Have The Heart,James Ingram,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Everytime We Touch,Cascada,Beautiful Girls,Sean Kingston,See You Again,Miley Cyrus,Run This Town,"Jay-Z, Rihanna & Kanye West",Say Aah,Trey Songz Featuring Fabolous,Tonight Tonight,Hot Chelle Rae,Part Of Me,Katy Perry,The Way,Ariana Grande Featuring Mac Miller,Best Day Of My Life,American Authors,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",What Do You Mean?,Justin Bieber,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,ZEZE,Kodak Black Featuring Travis Scott & Offset
31,Love Grows (Where My Rosemary Goes),Edison Lighthouse,That's The Way I've Always Heard It Should Be,Carly Simon,Beautiful Sunday,Daniel Boone,If You Want Me To Stay,Sly & The Family Stone,Top Of The World,Carpenters,Mandy,Barry Manilow,All By Myself,Eric Carmen,Looks Like We Made It,Barry Manilow,Dust In The Wind,Kansas,Main Event,Barbra Streisand,Send One Your Love,Stevie Wonder,Lady (You Bring Me Up),Commodores,I've Never Been To Me,Charlene,Allentown,Billy Joel,Borderline,Madonna,Sea Of Love,The Honeydrippers,Something About You,Level 42,U Got The Look,Prince,Angel,Aerosmith,When I'm With You,Sheriff,Downtown Train,Rod Stewart,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,Ain't No Other Man,Christina Aguilera,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,Shake It,Metro Station,Let It Rock,Kevin Rudolf Featuring Lil Wayne,Find Your Love,Drake,Blow,Ke$ha,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,Started From The Bottom,Drake,Habits (Stay High),Tove Lo,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,The Hills,The Weeknd,Slow Hands,Niall Horan,Tequila,Dan + Shay,Better Now,Post Malone
32,SNOWBIRD,Anne Murray,If You Really Love Me,Stevie Wonder,Scorpio,Dennis Coffey & The Detroit Guitar Band,Daddy's Home,Jermaine Jackson,THE JOKER,The Steve Miller Band,Have You Never Been Mellow,Olivia Newton-John,Love To Love You Baby,Donna Summer,So In To You,Atlanta Rhythm Section,Short People,Randy Newman,Mama Can't Buy You Love,Elton John,The Second Time Around,Shalamar,Crying,Don McLean,65 Love Affair,Paul Davis,Stand Back,Stevie Nicks,Sunglasses At Night,Corey Hart,A View To A Kill,Duran Duran,Venus,Bananarama,Land Of Confusion,Genesis,The Way You Make Me Feel,Michael Jackson,Don't Rush Me,Taylor Dayne,Rhythm Nation,Janet Jackson,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,"Dance, Dance",Fall Out Boy,Bartender,T-Pain Featuring Akon,Stop And Stare,OneRepublic,Fire Burning,Sean Kingston,Alejandro,Lady Gaga,Lighters,Bad Meets Evil Featuring Bruno Mars,We Are Never Ever Getting Back Together,Taylor Swift,Come & Get It,Selena Gomez,Summer,Calvin Harris,What Do You Mean?,Justin Bieber,Just Like Fire,P!nk,Love On The Brain,Rihanna,Feel It Still,Portugal. The Man,Youngblood,5 Seconds Of Summer
33,Hey There Lonely Girl,Eddie Holman,Spanish Harlem,Aretha Franklin,Morning Has Broken,Cat Stevens,Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight And The Pips,I've Got To Use My Imagination,Gladys Knight And The Pips,Could It Be Magic,Barry Manilow,Deep Purple,Donny & Marie Osmond,DREAMS,Fleetwood Mac,Use Ta Be My Girl,The O'Jays,I Was Made For Dancing,Leif Garrett,We Don't Talk Anymore,Cliff Richard,Hearts,Marty Balin,Heat Of The Moment,Asia,Tell Her About It,Billy Joel,Eyes Without A Face,Billy Idol,The Wild Boys,Duran Duran,Dancing On The Ceiling,Lionel Richie,Jacob's Ladder,Huey Lewis & The News,Make Me Lose Control,Eric Carmen,Born To Be My Baby,Bon Jovi,I'll Be Your Everything,Tommy Page,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,Gold Digger,Kanye West Featuring Jamie Foxx,"Pop, Lock & Drop It",Huey,Take You There,Sean Kingston,Whatcha Say,Jason Derulo,Ridin' Solo,Jason Derulo,If I Die Young,The Band Perry,As Long As You Love Me,Justin Bieber Featuring Big Sean,"Hold On, We're Going Home",Drake Featuring Majid Jordan,Boom Clap,Charli XCX,Photograph,Ed Sheeran,Broccoli,D.R.A.M. Featuring Lil Yachty,I Feel It Coming,The Weeknd Featuring Daft Punk,MotorSport,"Migos, Nicki Minaj & Cardi B",Money In The Grave,Drake Featuring Rick Ross
34,Come And Get It,Badfinger,Bridge Over Troubled Water,Aretha Franklin,Garden Party,Rick Nelson,I'm Doing Fine Now,New York City,The Show Must Go On,Three Dog Night,Cat's In The Cradle,Harry Chapin,Sweet Thing,Rufus Featuring Chaka Khan,DAZZ,Brick,Our Love,Natalie Cole,After The Love Has Gone,"Earth, Wind & Fire",Stomp,The Brothers Johnson,It's My Turn,Diana Ross,Take It Easy On Me,Little River Band,Always Something There To Remind Me,Naked Eyes,Here Comes The Rain Again,Eurythmics,You're The Inspiration,Chicago,Conga,Miami Sound Machine,Who's That Girl,Madonna,Red Red Wine,UB40,Good Thing,Fine Young Cannibals,Everything,Jody Watley,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Money Maker,Ludacris Featuring Pharrell,Runaway Love,Ludacris Featuring Mary J. Blige,Paper Planes,M.I.A.,LoveGame,Lady Gaga,Just A Dream,Nelly,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,Turn Me On,David Guetta Featuring Nicki Minaj,Daylight,Maroon 5,Drunk In Love,Beyonce Featuring Jay Z,Hello,Adele,Don't,Bryson Tiller,Bounce Back,Big Sean,I Like Me Better,Lauv,Speechless,Dan + Shay
35,Turn Back The Hands Of Time,Tyrone Davis,Draggin' The Line,Tommy James,I Can See Clearly Now,Johnny Nash,Could It Be I'm Falling In Love,Spinners,Living For The City,Stevie Wonder,Wildfire,Michael Murphey,A Little Bit More,Dr. Hook,I'm In You,Peter Frampton,Love Will Find A Way,Pablo Cruise,The Gambler,Kenny Rogers,Heartache Tonight,Eagles,I Don't Need You,Kenny Rogers,Pac-Man Fever,Buckner & Garcia,Truly,Lionel Richie,Uptown Girl,Billy Joel,Neutron Dance,The Pointer Sisters,True Colors,Cyndi Lauper,You Got It All,The Jets,Bad Medicine,Bon Jovi,The Lover In Me,Sheena Easton,Back To Life,Soul II Soul,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Rockstar,Nickelback,Hot N Cold,Katy Perry,Waking Up In Vegas,Katy Perry,How Low,Ludacris,The Time (Dirty Bit),The Black Eyed Peas,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,Feel This Moment,Pitbull Featuring Christina Aguilera,Anaconda,Nicki Minaj,Stitches,Shawn Mendes,Dangerous Woman,Ariana Grande,Strip That Down,Liam Payne Featuring Quavo,Youngblood,5 Seconds Of Summer,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
36,In The Summertime,Mungo Jerry,Proud Mary,Ike & Tina Turner,Burning Love,Elvis Presley,Daniel,Elton John,Then Came You,Dionne Warwick And The Spinners,I'm Not In Love,10cc,Shannon,Henry Gross,Lucille,Kenny Rogers,An Everlasting Love,Andy Gibb,Lotta Love,Nicolette Larson,Tired Of Toein' The Line,Rocky Burnette,How 'bout Us,Champaign,That Girl,Stevie Wonder,DIRTY LAUNDRY,Don Henley,Sister Christian,Night Ranger,We Belong,Pat Benatar,Danger Zone,Kenny Loggins,Touch Me (I Want Your Body),Samantha Fox,I Don't Wanna Go On With You Like That,Elton John,Bust A Move,Young M.C.,Here And Now,Luther Vandross,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,Thnks Fr Th Mmrs,Fall Out Boy,Live Your Life,T.I. Featuring Rihanna,Birthday Sex,Jeremih,Like A G6,Far*East Movement Featuring Cataracs & Dev,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,Blow Me (One Last Kiss),P!nk,Applause,Lady Gaga,Break Free,Ariana Grande Featuring Zedd,Talking Body,Tove Lo,Jumpman,Drake & Future,Fake Love,Drake,Whatever It Takes,Imagine Dragons,Please Me,Cardi B & Bruno Mars
37,Indiana Wants Me,R. Dean Taylor,Beginnings/Colour My World,Chicago,Clean Up Woman,Betty Wright,Midnight Train To Georgia,Gladys Knight And The Pips,The Night Chicago Died,Paper Lace,I Can Help,Billy Swan,If You Leave Me Now,Chicago,Da Doo Ron Ron,Shaun Cassidy,Love Is In The Air,John Paul Young,Lady,Little River Band,Better Love Next Time,Dr. Hook,Hit Me With Your Best Shot,Pat Benatar,Trouble,Lindsey Buckingham,Too Shy,Kajagoogoo,Drive,The Cars,Nightshift,Commodores,What Have You Done For Me Lately,Janet Jackson,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,Together Forever,Rick Astley,Real Love,Jody Watley,Alright,Janet Jackson,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,Photograph,Nickelback,What I've Done,Linkin Park,Bust It Baby Part 2,Plies Featuring Ne-Yo,Sober,P!nk,Carry Out,Timbaland Featuring Justin Timberlake,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,Good Time,Owl City & Carly Rae Jepsen,One More Night,Maroon 5,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,Jealous,Nick Jonas,I Hate U I Love U,gnash Featuring Olivia O'Brien,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,Ric Flair Drip,Offset & Metro Boomin,Money,Cardi B
