,'70s,'80s,'90s,'00s,'10s
102,It's Too Late/I Feel The Earth Move,Starting Over,Promiscuous,Promiscuous,Firework
103,How Can You Mend A Broken Heart,Jessie's Girl,You're Beautiful,You're Beautiful,E.T.
104,Go Away Little Girl,Celebration,Hips Don't Lie,Hips Don't Lie,Give Me Everything
105,Just My Imagination (Running Away With Me),I Love A Rainy Night,Unwritten,Unwritten,Grenade
106,Tired Of Being Alone,9 To 5,Crazy,Crazy,Super Bass
107,Want Ads,Keep On Loving You,Ridin',Ridin',Moves Like Jagger
108,Treat Her Like A Lady,Morning Train,SexyBack,SexyBack,Just Can't Get Enough
109,BROWN SUGAR,Being With You,Check On It,Check On It,On The Floor
110,You've Got A Friend,Queen Of Hearts,Be Without You,Be Without You,S&M
111,Mr. Big Stuff,Rapture,Grillz,Grillz,Pumped Up Kicks
112,Do You Know What I Mean,A Woman Needs Love,Over My Head (Cable Car),Over My Head (Cable Car),Last Friday Night (T.G.I.F.)
113,The Night They Drove Old Dixie Down,The Tide Is High,Me & U,Me & U,Just The Way You Are
114,What's Going On,Just The Two Of Us,Buttons,Buttons,Tonight (I'm Lovin' You)
115,Uncle Albert/Admiral Halsey,Slow Hand,Run It!,Run It!,Raise Your Glass
116,Signs,I Love You,So Sick,So Sick,Born This Way
117,She's A Lady,Woman,It's Goin' Down,It's Goin' Down,F**kin' Perfect
118,Amos Moses,Sukiyaki,SOS,SOS,What's My Name?
119,Superstar,The Winner Takes It All,I Write Sins Not Tragedies,I Write Sins Not Tragedies,Look At Me Now
120,My Sweet Lord/Isn't It A Pity,Medley,Move Along,Move Along,Down On Me
121,Put Your Hand In The Hand,Love On The Rocks,London Bridge,London Bridge,How To Love
122,For All We Know,Every Woman In The World,Dani California,Dani California,Someone Like You
123,If You Could Read My Mind,The One That You Love,Snap Yo Fingers,Snap Yo Fingers,Good Life
124,Help Me Make It Through The Night,Guilty,"Lean Wit It, Rock Wit It","Lean Wit It, Rock Wit It",The Lazy Song
125,Never Can Say Goodbye,The Best Of Times,What Hurts The Most,What Hurts The Most,Till The World Ends
126,Rose Garden,Elvira,How To Save A Life,How To Save A Life,The Show Goes On
127,Don't Pull Your Love,Take It On The Run,Unfaithful,Unfaithful,The Edge Of Glory
128,It Don't Come Easy,Woman In Love,Chasing Cars,Chasing Cars,We R Who We R
129,Mr. Bojangles,URGENT,Lips Of An Angel,Lips Of An Angel,Black And Yellow
130,Whatcha See Is Whatcha Get,Passion,Everytime We Touch,Everytime We Touch,Tonight Tonight
131,That's The Way I've Always Heard It Should Be,Lady (You Bring Me Up),Ain't No Other Man,Ain't No Other Man,Blow
132,If You Really Love Me,Crying,"Dance, Dance","Dance, Dance",Lighters
133,Spanish Harlem,Hearts,Gold Digger,Gold Digger,If I Die Young
134,Bridge Over Troubled Water,It's My Turn,Money Maker,Money Maker,Stereo Hearts
135,Draggin' The Line,I Don't Need You,Ms. New Booty,Ms. New Booty,The Time (Dirty Bit)
136,Proud Mary,How 'bout Us,(When You Gonna) Give It Up To Me,(When You Gonna) Give It Up To Me,Coming Home
137,Beginnings/Colour My World,Hit Me With Your Best Shot,Photograph,Photograph,Hey Baby (Drop It To The Floor)
138,Sweet City Woman,Time,Because Of You,Because Of You,Only Girl (In The World)
139,If,Hungry Heart,Stickwitu,Stickwitu,6 Foot 7 Foot
140,"Mercy, Mercy Me (The Ecology)",Sweetheart,I'm N Luv (Wit A Stripper),I'm N Luv (Wit A Stripper),Just A Kiss
141,Bring The Boys Home,Somebody's Knockin',My Humps,My Humps,Dirt Road Anthem
142,I Just Want To Celebrate,More Than I Can Say,Where'd You Go,Where'd You Go,Dynamite
143,Never Ending Song Of Love,Together,Yo (Excuse Me Miss),Yo (Excuse Me Miss),No Hands
144,Easy Loving,Too Much Time On My Hands,Walk Away,Walk Away,I Wanna Go
145,Liar,What Are We Doin' In Love,Laffy Taffy,Laffy Taffy,I'm On One
146,Stick-Up,Who's Crying Now,What You Know,What You Know,You Make Me Feel...
147,Wild World,"De Do Do Do, De Da Da Da",Dirty Little Secret,Dirty Little Secret,Yeah 3X
148,"When You're Hot, You're Hot",This Little Girl,Savin' Me,Savin' Me,Moment 4 Life
149,If Not For You,Stop Draggin' My Heart Around,Don't Forget About Us,Don't Forget About Us,I Need A Doctor
150,Groove Me,Giving It Up For Your Love,Sexy Love,Sexy Love,Just A Dream
151,Watching Scotty Grow,A Little In Love,U And Dat,U And Dat,Motivation
152,Woodstock,America,Far Away,Far Away,Stereo Love
153,Amazing Grace,Ain't Even Done With The Night,What's Left Of Me,What's Left Of Me,Jar Of Hearts
154,Lonely Days,Arthur's Theme,So What,So What,Roll Up
155,Trapped By A Thing Called Love,Another One Bites The Dust,Do It To It,Do It To It,Sexy And I Know It
156,Mama's Pearl,Games People Play,Black Horse & The Cherry Tree,Black Horse & The Cherry Tree,Rocketeer
157,I Woke Up In Love This Morning,While You See A Chance,There It Go! (The Whistle Song),There It Go! (The Whistle Song),All Of The Lights
158,If I Were Your Woman,Master Blaster,Shoulder Lean,Shoulder Lean,Hold It Against Me
159,Wedding Song (There Is Love),Hello Again,Unpredictable,Unpredictable,More
160,Here Comes The Sun,Don't Stand So Close To Me,My Love,My Love,What The Hell
161,Sweet Mary,Hey Nineteen,Shake That,Shake That,Written In The Stars
162,Right On The Tip Of My Tongue,I Ain't Gonna Stand For It,Pullin' Me Back,Pullin' Me Back,Bottoms Up
163,Riders On The Storm,All Those Years Ago,Bossy,Bossy,DJ Got Us Fallin' In Love
164,It's Impossible,Step By Step,Chain Hang Low,Chain Hang Low,For The First Time
165,Song,THE STROKE,Smack That,Smack That,Honey Bee
166,Song,Feels So Right,One Wish,One Wish,Don't You Wanna Stay
167,Song,Same Old Lang Syne,"Sugar, We're Goin' Down","Sugar, We're Goin' Down",We Found Love
168,Song,Cool Love,Gimme That,Gimme That,Pretty Girl Rock
169,Song,Hold On Tight,I Know You See It,I Know You See It,You And I
170,Song,It's Now Or Never,Who Says You Can't Go Home,Who Says You Can't Go Home,Like A G6
171,Song,Treat Me Right,Too Little Too Late,Too Little Too Late,Without You
172,Song,Winning,Touch It,Touch It,Back To December
173,Song,What Kind Of Fool,Rompe,Rompe,Teenage Dream
174,Song,WATCHING THE WHEELS,Deja Vu,Deja Vu,Crazy Girl
175,Song,Tell It Like It Is,Life Is A Highway,Life Is A Highway,Cheers (Drink To That)
176,Song,Smokey Mountain Rain,Call Me When You're Sober,Call Me When You're Sober,Who Says
177,Song,I Made It Through The Rain,"Jesus, Take The Wheel","Jesus, Take The Wheel",Barefoot Blue Jean Night
178,Song,Suddenly,Show Stopper,Show Stopper,Knee Deep
179,Song,For Your Eyes Only,Get Up,Get Up,Country Girl (Shake It For Me)
180,Song,The Beach Boys Medley,We Be Burnin',We Be Burnin',Remind Me
181,Song,Whip It,Hate Me,Hate Me,In The Dark
182,Song,Modern Girl,You And Me,You And Me,Backseat
183,Song,Really Wanna Know You,Beep,Beep,Headlines
184,Song,Seven Year Ache,I Think They Like Me,I Think They Like Me,Best Thing I Never Had
185,Song,I'm Coming Out,Say Goodbye,Say Goodbye,Don't Wanna Go Home
186,Song,Miss Sun,Waiting On The World To Change,Waiting On The World To Change,Where Them Girls At
187,Song,Time Is Time,Soul Survivor,Soul Survivor,She Ain't You
188,Song,Song,Pump It,Pump It,Take A Back Road
189,Song,Song,When I'm Gone,When I'm Gone,Please Don't Go
190,Song,Song,Hung Up,Hung Up,Sure Thing
191,Song,Song,Stay Fly,Stay Fly,Price Tag
192,Song,Song,Love,Love,God Gave Me You
193,Song,Song,When You're Mad,When You're Mad,She Will
194,Song,Song,Why You Wanna,Why You Wanna,Are You Gonna Kiss Me Or Not
195,Song,Song,Stupid Girls,Stupid Girls,Animal
196,Song,Song,Feel Good Inc,Feel Good Inc,You And Tequila
197,Song,Song,I'm Sprung,I'm Sprung,Colder Weather
198,Song,Song,Do I Make You Proud,Do I Make You Proud,My Last
199,Song,Song,For You I Will (Confidence),For You I Will (Confidence),Song
200,Alone Again (Naturally),Physical,Bad Day,Bad Day,Somebody That I Used To Know
201,American Pie (Parts I & II),I Love Rock 'N' Roll,Temperature,Temperature,Call Me Maybe
202,Without You,Don't You Want Me,Promiscuous,Promiscuous,We Are Young
203,I Gotcha,Hurts So Good,You're Beautiful,You're Beautiful,Payphone
204,Lean On Me,Abracadabra,Hips Don't Lie,Hips Don't Lie,Lights
205,Baby Don't Get Hooked On Me,Hard To Say I'm Sorry,Unwritten,Unwritten,Glad You Came
206,Brand New Key,Tainted Love,Crazy,Crazy,Stronger (What Doesn't Kill You)
207,Daddy Don't You Walk So Fast,Chariots Of Fire,Ridin',Ridin',We Found Love
208,Let's Stay Together,Harden My Heart,SexyBack,SexyBack,Starships
209,Brandy (You're A Fine Girl),Rosanna,Check On It,Check On It,What Makes You Beautiful
210,Oh Girl,867-5309/jenny,Be Without You,Be Without You,Wild Ones
211,Nice To Be With You,Key Largo,Grillz,Grillz,Set Fire To The Rain
212,My Ding-A-Ling,You Should Hear How She Talks About You,Over My Head (Cable Car),Over My Head (Cable Car),Sexy And I Know It
213,Heart Of Gold,Waiting For A Girl Like You,Me & U,Me & U,Some Nights
214,"Betcha By Golly, Wow",Don't Talk To Strangers,Buttons,Buttons,Wide Awake
215,I'll Take You There,The Sweetest Thing,Run It!,Run It!,Good Feeling
216,Ben,Always On My Mind,So Sick,So Sick,Whistle
217,Slippin' Into Darkness,Shake It Up,It's Goin' Down,It's Goin' Down,One More Night
218,A Horse With No Name,Let It Whip,SOS,SOS,Drive By
219,Song Sung Blue,We Got The Beat,I Write Sins Not Tragedies,I Write Sins Not Tragedies,The Motto
220,Popcorn,The Other Woman,Move Along,Move Along,Where Have You Been
221,Everybody Plays The Fool,Turn Your Love Around,London Bridge,London Bridge,Everybody Talks
222,Precious And Few,Sweet Dreams,Dani California,Dani California,Take Care
223,Nights In White Satin,Only The Lonely,Snap Yo Fingers,Snap Yo Fingers,Titanium
224,Go All The Way,Hold Me,"Lean Wit It, Rock Wit It","Lean Wit It, Rock Wit It",I Won't Give Up
225,Too Late To Turn Back Now,Eye In The Sky,What Hurts The Most,What Hurts The Most,It Will Rain
226,Back Stabbers,Let's Groove,How To Save A Life,How To Save A Life,Mercy
227,Sunshine,Open Arms,Unfaithful,Unfaithful,Boyfriend
228,Day After Day,Leader Of The Band,Chasing Cars,Chasing Cars,Party Rock Anthem
229,Rocket Man,Leather And Lace,Lips Of An Angel,Lips Of An Angel,Too Close
230,Rockin' Robin,Even The Nights Are Better,Everytime We Touch,Everytime We Touch,Part Of Me
231,Beautiful Sunday,I've Never Been To Me,Ain't No Other Man,Ain't No Other Man,"Young, Wild & Free"
232,Scorpio,65 Love Affair,"Dance, Dance","Dance, Dance",We Are Never Ever Getting Back Together
233,Morning Has Broken,Heat Of The Moment,Gold Digger,Gold Digger,As Long As You Love Me
234,Garden Party,Take It Easy On Me,Money Maker,Money Maker,Turn Me On
235,I Can See Clearly Now,Pac-Man Fever,Ms. New Booty,Ms. New Booty,Moves Like Jagger
236,Burning Love,That Girl,(When You Gonna) Give It Up To Me,(When You Gonna) Give It Up To Me,Blow Me (One Last Kiss)
237,Clean Up Woman,Trouble,Photograph,Photograph,Good Time
238,Hold Your Head Up,Making Love,Because Of You,Because Of You,Give Your Heart A Break
239,Everything I Own,Love's Been A Little Bit Hard On Me,Stickwitu,Stickwitu,Ni**as in Paris
240,In The Rain,Young Turks,I'm N Luv (Wit A Stripper),I'm N Luv (Wit A Stripper),The One That Got Away
241,Look What You Done For Me,Freeze-frame,My Humps,My Humps,Feel So Close
242,Where Is The Love,Keep The Fire Burnin',Where'd You Go,Where'd You Go,Someone Like You
243,Bang A Gong (Get It On),Do You Believe In Love,Yo (Excuse Me Miss),Yo (Excuse Me Miss),Scream
244,Mother And Child Reunion,Cool Night,Walk Away,Walk Away,Rack City
245,I'm Still In Love With You,Why Do Fools Fall In Love,Laffy Taffy,Laffy Taffy,Domino
246,Layla,Love In The First Degree,What You Know,What You Know,Gangnam Style
247,Day Dreaming,Hooked On Classics,Dirty Little Secret,Dirty Little Secret,International Love
248,Black And White,Wasted On The Way,Savin' Me,Savin' Me,Home
249,Hurting Each Other,Think I'm In Love,Don't Forget About Us,Don't Forget About Us,Without You
250,Coconut,Love Is In Control (Finger On The Trigger),Sexy Love,Sexy Love,Ass Back Home
251,Don't Say You Don't Remember,Personally,U And Dat,U And Dat,Wanted
252,Puppy Love,ONE HUNDRED WAYS,Far Away,Far Away,Drunk On You
253,You Don't Mess Around With Jim,Blue Eyes,What's Left Of Me,What's Left Of Me,No Lie
254,Hot Rod Lincoln,Our Lips Are Sealed,So What,So What,Want U Back
255,Joy,You Could Have Been With Me,Do It To It,Do It To It,Don't Wake Me Up
256,Anticipation,You Can Do Magic,Black Horse & The Cherry Tree,Black Horse & The Cherry Tree,Dance (A$$)
257,Never Been To Spain,I Ran,There It Go! (The Whistle Song),There It Go! (The Whistle Song),Springsteen
258,School's Out,Somebody's Baby,Shoulder Lean,Shoulder Lean,Brokenhearted
259,Saturday In The Park,Oh No,Unpredictable,Unpredictable,Not Over You
260,Drowning In The Sea Of Love,Take It Away,My Love,My Love,Stereo Hearts
261,Use Me,It's Gonna Take A Miracle,Shake That,Shake That,Back In Time
262,Family Affair,Love Will Turn You Around,Pullin' Me Back,Pullin' Me Back,Work Out
263,Power Of Love,Don't Stop Believin',Bossy,Bossy,Rumour Has It
264,Ain't Understanding Mellow,Comin' In And Out Of Your Life,Chain Hang Low,Chain Hang Low,Let's Go
265,Taxi,Gloria,Smack That,Smack That,Good Girl
266,Sealed With A Kiss,Empty Garden,One Wish,One Wish,Pontoon
267,I SAW THE LIGHT,Yesterday's Songs,"Sugar, We're Goin' Down","Sugar, We're Goin' Down",Ho Hey
268,Motorcycle Mama,Crimson And Clover,Gimme That,Gimme That,Paradise
269,Day By Day,Every Little Thing She Does Is Magic,I Know You See It,I Know You See It,Blown Away
270,Roundabout,Here I Am,Who Says You Can't Go Home,Who Says You Can't Go Home,Rolling In The Deep
271,Doctor My Eyes,I Keep Forgettin' (every Time You're Near),Too Little Too Late,Too Little Too Late,Climax
272,Baby Let Me Take You (In My Arms),Get Down On It,Touch It,Touch It,"Work Hard, Play Hard"
273,Speak To The Sky,Any Day Now,Rompe,Rompe,Let Me Love You (Until You Learn To Love Yourself)
274,Song,Make A Move On Me,Deja Vu,Deja Vu,Pound The Alarm
275,Song,Take My Heart,Life Is A Highway,Life Is A Highway,Come Over
276,Song,Mirror Mirror,Call Me When You're Sober,Call Me When You're Sober,Heart Attack
277,Song,Vacation,"Jesus, Take The Wheel","Jesus, Take The Wheel",Drank In My Cup
278,Song,Oh Pretty Woman,Show Stopper,Show Stopper,Birthday Cake
279,Song,Should I Do It,Get Up,Get Up,So Good
280,Song,Hot In The City,We Be Burnin',We Be Burnin',50 Ways To Say Goodbye
281,Song,Kids In America,Hate Me,Hate Me,Red Solo Cup
282,Song,Man On Your Mind,You And Me,You And Me,Love You Like A Love Song
283,Song,What's Forever For,Beep,Beep,Turn Up The Music
284,Song,WAITING ON A FRIEND,I Think They Like Me,I Think They Like Me,Die Young
285,Song,Do I Do,Say Goodbye,Say Goodbye,5 O'Clock
286,Song,Working For The Weekend,Waiting On The World To Change,Waiting On The World To Change,A Thousand Years
287,Song,Goin' Down,Soul Survivor,Soul Survivor,Take A Little Ride
288,Song,Arthur's Theme,Pump It,Pump It,You Da One
289,Song,Through The Years,When I'm Gone,When I'm Gone,We Run The Night
290,Song,Song,Hung Up,Hung Up,It's Time
291,Song,Song,Stay Fly,Stay Fly,Cashin' Out
292,Song,Song,Love,Love,I Don't Want This Night To End
293,Song,Song,When You're Mad,When You're Mad,Diamonds
294,Song,Song,Why You Wanna,Why You Wanna,Hard To Love
295,Song,Song,Stupid Girls,Stupid Girls,Somethin' 'Bout A Truck
296,Song,Song,Feel Good Inc,Feel Good Inc,Adorn
297,Song,Song,I'm Sprung,I'm Sprung,Fly Over States
298,Song,Song,Do I Make You Proud,Do I Make You Proud,Even If It Breaks Your Heart
299,Song,Song,For You I Will (Confidence),For You I Will (Confidence),Burn It Down
300,"Bad, Bad Leroy Brown",Every Breath You Take,Bad Day,Bad Day,Thrift Shop
301,Killing Me Softly With His Song,Billie Jean,Temperature,Temperature,Blurred Lines
302,Let's Get It On,Down Under,Promiscuous,Promiscuous,Radioactive
303,Crocodile Rock,Beat It,You're Beautiful,You're Beautiful,Harlem Shake
304,Will It Go Round In Circles,Total Eclipse Of The Heart,Hips Don't Lie,Hips Don't Lie,Can't Hold Us
305,You're So Vain,Maniac,Unwritten,Unwritten,Mirrors
306,Touch Me In The Morning,Sweet Dreams (Are Made Of This),Crazy,Crazy,Just Give Me A Reason
307,The Night The Lights Went Out In Georgia,Do You Really Want To Hurt Me,Ridin',Ridin',When I Was Your Man
308,Playground In My Mind,You And I,SexyBack,SexyBack,Cruise
309,Delta Dawn,Shame On The Moon,Check On It,Check On It,Roar
310,Frankenstein,She Works Hard For The Money,Be Without You,Be Without You,Locked Out Of Heaven
311,Little Willy,Never Gonna Let You Go,Grillz,Grillz,Ho Hey
312,You Are The Sunshine Of My Life,Hungry Like The Wolf,Over My Head (Cable Car),Over My Head (Cable Car),Stay
313,Half Breed,Let's Dance,Me & U,Me & U,Get Lucky
314,That Lady,Twilight Zone,Buttons,Buttons,Royals
315,We're An American Band,I Know There's Something Going On,Run It!,Run It!,I Knew You Were Trouble.
316,"Right Place, Wrong Time",Electric Avenue,So Sick,So Sick,We Can't Stop
317,Wildflower,She Blinded Me With Science,It's Goin' Down,It's Goin' Down,Wrecking Ball
318,Superstition,Africa,SOS,SOS,Wake Me Up!
319,The Morning After,Little Red Corvette,I Write Sins Not Tragedies,I Write Sins Not Tragedies,Suit & Tie
320,Rocky Mountain High,Mr. Roboto,Move Along,Move Along,Cups (Pitch Perfect's When I'm Gone)
321,Stuck In The Middle With You,You Are,London Bridge,London Bridge,Holy Grail
322,Shambala,Puttin' On The Ritz,Dani California,Dani California,Scream & Shout
323,Love Train,Sexual Healing,Snap Yo Fingers,Snap Yo Fingers,Clarity
324,Keep On Truckin',(Keep Feeling) Fascination,"Lean Wit It, Rock Wit It","Lean Wit It, Rock Wit It",Sail
325,Danny's Song,The Safety Dance,What Hurts The Most,What Hurts The Most,Don't You Worry Child
326,Dancing In The Moonlight,Mickey,How To Save A Life,How To Save A Life,Diamonds
327,Natural High,You Can't Hurry Love,Unfaithful,Unfaithful,I Love It
328,Diamond Girl,Separate Ways,Chasing Cars,Chasing Cars,Safe And Sound
329,Long Train Running,1999,Lips Of An Angel,Lips Of An Angel,Treasure
330,Give Me Love (Give Me Peace On Earth),Stray Cat Strut,Everytime We Touch,Everytime We Touch,The Way
331,If You Want Me To Stay,Allentown,Ain't No Other Man,Ain't No Other Man,Started From The Bottom
332,Daddy's Home,Stand Back,"Dance, Dance","Dance, Dance",Come & Get It
333,Neither One Of Us (Wants To Be The First To Say Goodbye),Tell Her About It,Gold Digger,Gold Digger,"Hold On, We're Going Home"
334,I'm Doing Fine Now,Always Something There To Remind Me,Money Maker,Money Maker,Daylight
335,Could It Be I'm Falling In Love,Truly,Ms. New Booty,Ms. New Booty,Feel This Moment
336,Daniel,DIRTY LAUNDRY,(When You Gonna) Give It Up To Me,(When You Gonna) Give It Up To Me,Applause
337,Midnight Train To Georgia,Too Shy,Photograph,Photograph,One More Night
338,Smoke On The Water,Goody Two Shoes,Because Of You,Because Of You,Love Me
